location_id,edge_id,snap_distance_m,mapping_status,mapping_confidence,network_version,sensor_name,sensor_description,source_status,quality_flags
152,edge_deb112b5008a3f234460fbfd,4.926,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL2S1_T,narrm ngarrgu Library - Level 2 - Study Area Lifts 1,A,[]
153,edge_2d8555ba3ca27c4516614071,2.754,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL2S2_T,narrm ngarrgu Library - Level 2 - Study Area Lifts 2,A,[]
154,edge_f799af0d684025927e9d012d,15.345,MANUAL_REVIEW,MEDIUM,cceb975fc0c92f16f660,narrLibL3C1_T,narrm ngarrgu Library - Level 3 Children's Library Door 1,A,[]
155,edge_deb112b5008a3f234460fbfd,6.31,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL#C2_T,narrm ngarrgu Library - Level 3 Children's Library Door 2,A,[]
158,edge_2f6da0ae00a5d33306f871fa,5.841,AUTO,HIGH,cceb975fc0c92f16f660,Eli514_T,514 Elizebeth Street,A,[]
159,edge_86ae6744e65836a33bac8ef8,6.944,AUTO,HIGH,cceb975fc0c92f16f660,Eli516_T,516 Elizeberth Street,A,[]
160,edge_410740116586adeec34f589a,6.108,AUTO,HIGH,cceb975fc0c92f16f660,Swa420_T,"City Baths, 420 Swanston Street - Main Entry",A,[]
161,edge_b2c4f481116f78973d41ca3b,1.782,AUTO,HIGH,cceb975fc0c92f16f660,BirArt1109_T,Birrarung Marr - COM - Pole 1109,A,[]
162,edge_cd36a3855db2f30b263d6167,2.735,AUTO,HIGH,cceb975fc0c92f16f660,Eli489_T,iHub 489 Elizabeth Street,A,[]
164,edge_99abf402b3685e8dedd5f08c,2.0,AUTO,HIGH,cceb975fc0c92f16f660,Lat526_T,I-Hub 526 La Trobe Street (Footpath),A,[]
165,edge_9af2d76692481f7d37aac236,0.001,AUTO,HIGH,cceb975fc0c92f16f660,Spen475_T,475 Spencer Street,A,[]
166,edge_76bc4d90fc1fc554c118768f,0.767,AUTO,HIGH,cceb975fc0c92f16f660,Spen484_T,484 Spencer Street,A,[]
167,edge_55531898cdae33aef9b757eb,1.063,AUTO,HIGH,cceb975fc0c92f16f660,Lat526_T,I-Hub 526 La Trobe Street (Crossing),A,[]
179,edge_77245585c49b2ef03601f030,0.637,AUTO,HIGH,cceb975fc0c92f16f660,Pow61_T,61-67 Power Street Southbank,A,[]
180,edge_e7e95d8fd16d2f2d378d3676,1.251,AUTO,HIGH,cceb975fc0c92f16f660,Mac330_T,"Pumping Station No.2, 330 Macaulay Road",A,[]
181,edge_834ef15470ae4a111c6ee872,1.667,AUTO,HIGH,cceb975fc0c92f16f660,Eli368_T,368 Elizabeth Street,A,[]
182,edge_0547e137e51a07dcb3f50cad,0.423,AUTO,HIGH,cceb975fc0c92f16f660,King163_T,163 King Street,A,[]
184,edge_a3cd766969c23911ac600cc9,0.268,AUTO,HIGH,cceb975fc0c92f16f660,Eli124_T,124 Elizabeth Street,A,[]
185,edge_eaf48d37c90b02cb9b73aad5,0.131,AUTO,HIGH,cceb975fc0c92f16f660,Eli197_T,197 Elizabeth Street,A,[]
187,edge_398d02ad2ca797ebea8ade9e,0.728,AUTO,HIGH,cceb975fc0c92f16f660,Swa330_T,RMIT Building 22 - 330 Swanston Street,A,[]
188,edge_d5d1c4433ba8d07cf1ea40a7,8.212,AUTO,HIGH,cceb975fc0c92f16f660,RMIT51_T,RMIT Building 51 - 80-92 Victoria Street,A,[]
209,edge_d0c69ad191dc656fe8d25826,2.895,AUTO,HIGH,cceb975fc0c92f16f660,FliS_T,Flinders Underpass - Walkway,A,[]
